"state_name","county_name","date","positive_pct","transmission_level"
"Nebraska","Cass County",2022-03-26,5.43,"moderate"
"Missouri","Dallas County",2022-03-26,3.57,"moderate"
"Michigan","Lake County",2022-03-26,1.32,"moderate"
"Illinois","Jackson County",2022-03-26,1.11,"moderate"
"Missouri","Morgan County",2022-03-26,4.65,"moderate"
"Illinois","Franklin County",2022-03-26,1.59,"moderate"
"Missouri","Bates County",2022-03-26,2.07,"moderate"
"Michigan","Manistee County",2022-03-26,2.29,"moderate"
"Wisconsin","Kewaunee County",2022-03-26,0.87,"low"
"Nebraska","Howard County",2022-03-26,3.6294571536429,"low"
"Nebraska","Washington County",2022-03-26,0,"low"
"Missouri","Laclede County",2022-03-26,1.14,"moderate"
"South Dakota","Butte County",2022-03-26,3.7,"moderate"
"Wisconsin","Brown County",2022-03-26,2.15,"moderate"
"Michigan","Antrim County",2022-03-26,2.06,"moderate"
"Indiana","Allen County",2022-03-26,2.81,"moderate"
"Minnesota","Grant County",2022-03-26,1.96,"low"
"Missouri","Benton County",2022-03-26,8.26,"substantial"
"Indiana","LaGrange County",2022-03-26,0,"low"
"Missouri","Webster County",2022-03-26,5.17,"moderate"
"South Dakota","Fall River County",2022-03-26,3.85,"low"
"Indiana","Tippecanoe County",2022-03-26,5.57,"moderate"
"Indiana","Wayne County",2022-03-26,1.73,"moderate"
"Nebraska","Saunders County",2022-03-26,0,"low"
"Missouri","Boone County",2022-03-26,2.2,"moderate"
"Nebraska","York County",2022-03-26,18.18,"high"
"Minnesota","Wadena County",2022-03-26,2.06,"moderate"
"Missouri","Pettis County",2022-03-26,3.54,"high"
"Nebraska","Sheridan County",2022-03-26,3.6294571536429,"high"
"Missouri","Lawrence County",2022-03-26,1.99,"moderate"
"Michigan","Montcalm County",2022-03-26,3.72,"moderate"
"Wisconsin","Douglas County",2022-03-26,3.3,"substantial"
"Michigan","Cass County",2022-03-26,0.45,"moderate"
"Michigan","Jackson County",2022-03-26,2.76,"moderate"
"Michigan","Calhoun County",2022-03-26,4.54,"substantial"
"Michigan","Iron County",2022-03-26,4.03,"low"
"Minnesota","Itasca County",2022-03-26,1.68,"moderate"
"Indiana","DeKalb County",2022-03-26,4.88,"moderate"
"Indiana","Steuben County",2022-03-26,0,"low"
"Illinois","Stark County",2022-03-26,0.52,"moderate"
"Ohio","Crawford County",2022-03-26,2.52,"moderate"
"Illinois","Williamson County",2022-03-26,1.68,"moderate"
"Indiana","Carroll County",2022-03-26,2.08,"moderate"
"Ohio","Fayette County",2022-03-26,1.71,"moderate"
"Michigan","Alpena County",2022-03-26,11.65,"high"
"Missouri","Henry County",2022-03-26,0.52,"low"
"Kansas","Wallace County",2022-03-26,3.6294571536429,"low"
"Michigan","Montmorency County",2022-03-26,4.49,"low"
"Michigan","Branch County",2022-03-26,5.33,"moderate"
"Missouri","Saline County",2022-03-26,1.47,"moderate"
"Missouri","Dade County",2022-03-26,4,"high"
"Minnesota","Aitkin County",2022-03-26,1.99,"moderate"
"Missouri","Cooper County",2022-03-26,0,"low"
"South Dakota","Jackson County",2022-03-26,3.7,"low"
"Michigan","Wexford County",2022-03-26,6.6,"substantial"
"Nebraska","Douglas County",2022-03-26,4.08,"low"
"Kansas","McPherson County",2022-03-26,0.61,"moderate"
"Ohio","Portage County",2022-03-26,1.64,"moderate"
"Minnesota","Crow Wing County",2022-03-26,3.2,"moderate"
"Illinois","Rock Island County",2022-03-26,1.04,"moderate"
"Missouri","Macon County",2022-03-26,1.04,"moderate"
"Missouri","St. Clair County",2022-03-26,3.61,"moderate"
"Wisconsin","Walworth County",2022-03-26,2.67,"moderate"
"Wisconsin","Green County",2022-03-26,5.11,"high"
"Ohio","Miami County",2022-03-26,1.41,"moderate"
"Kansas","Morris County",2022-03-26,9.09,"substantial"
"Michigan","Hillsdale County",2022-03-26,5.96,"moderate"
"Illinois","Mercer County",2022-03-26,2.16,"substantial"
"South Dakota","Bennett County",2022-03-26,2.63,"low"
"Minnesota","Carlton County",2022-03-26,1.18,"moderate"
"Michigan","Grand Traverse County",2022-03-26,5.18,"substantial"
"Missouri","Barry County",2022-03-26,1.92,"moderate"
"Missouri","Randolph County",2022-03-26,2.05,"moderate"
"Michigan","Presque Isle County",2022-03-26,0,"moderate"
"Kansas","Sherman County",2022-03-26,2.27,"low"
"Ohio","Wyandot County",2022-03-26,2.72,"moderate"
"Michigan","Gratiot County",2022-03-26,2.12,"high"
"South Dakota","Meade County",2022-03-26,4.38,"low"
"Nebraska","Sarpy County",2022-03-26,4.53,"low"
"Missouri","Ozark County",2022-03-26,2.7,"high"
"Indiana","Clinton County",2022-03-26,1.41,"moderate"
"Ohio","Pickaway County",2022-03-26,1.96,"moderate"
"Michigan","Dickinson County",2022-03-26,0,"low"
"Michigan","Menominee County",2022-03-26,5.53,"substantial"
"Minnesota","Otter Tail County",2022-03-26,4.49,"substantial"
"Wisconsin","Oconto County",2022-03-26,0.94,"moderate"
"Michigan","Missaukee County",2022-03-26,4,"substantial"
"Wisconsin","Door County",2022-03-26,3.24,"moderate"
"Indiana","Fayette County",2022-03-26,0.85,"moderate"
"Minnesota","Cook County",2022-03-26,2.42,"substantial"
"Nebraska","Sioux County",2022-03-26,3.6294571536429,"low"
"Minnesota","Pine County",2022-03-26,0.84,"moderate"
"Ohio","Montgomery County",2022-03-26,1.93,"moderate"
"Indiana","Lawrence County",2022-03-26,3.05,"moderate"
"Wisconsin","Florence County",2022-03-26,0,"moderate"
"Illinois","Kankakee County",2022-03-26,1.04,"moderate"
"Michigan","Barry County",2022-03-26,4.61,"moderate"
"Minnesota","St. Louis County",2022-03-26,4.5,"substantial"
"Michigan","Leelanau County",2022-03-26,5.65,"substantial"
"Nebraska","Hamilton County",2022-03-26,0,"low"
"Indiana","Whitley County",2022-03-26,7.69,"moderate"
"Wisconsin","Rock County",2022-03-26,5.7,"substantial"
"Michigan","Lapeer County",2022-03-26,5.53,"moderate"
"Missouri","Wright County",2022-03-26,3.11,"moderate"
"Missouri","Shelby County",2022-03-26,0,"high"
"Indiana","Orange County",2022-03-26,2.97,"moderate"
"Missouri","Douglas County",2022-03-26,0.76,"moderate"
"Minnesota","Hubbard County",2022-03-26,3.41,"moderate"
"Michigan","Kent County",2022-03-26,5.4,"moderate"
"Illinois","Henry County",2022-03-26,1.55,"moderate"
"Michigan","Alcona County",2022-03-26,4.08,"low"
"Michigan","Osceola County",2022-03-26,3.83,"moderate"
"Indiana","White County",2022-03-26,4.35,"moderate"
"Kansas","Thomas County",2022-03-26,0,"low"
"Missouri","Camden County",2022-03-26,2.41,"moderate"
"Indiana","Benton County",2022-03-26,4,"moderate"
"Wisconsin","Lafayette County",2022-03-26,3.85,"moderate"
"Illinois","Iroquois County",2022-03-26,0.66,"substantial"
"Nebraska","Merrick County",2022-03-26,3.6294571536429,"low"
"Ohio","Greene County",2022-03-26,2.75,"moderate"
"Ohio","Marion County",2022-03-26,2.21,"moderate"
"Missouri","Christian County",2022-03-26,1.24,"moderate"
"Minnesota","Cass County",2022-03-26,3.86,"substantial"
"Kansas","Atchison County",2022-03-26,7.21,"moderate"
"Kansas","Geary County",2022-03-26,3.38,"moderate"
"Wisconsin","Crawford County",2022-03-26,3.31,"moderate"
"Missouri","Stone County",2022-03-26,3.03,"moderate"
"Ohio","Franklin County",2022-03-26,2.6,"moderate"
"Ohio","Preble County",2022-03-26,1.89,"moderate"
"Michigan","Van Buren County",2022-03-26,3.81,"moderate"
"South Dakota","Pennington County",2022-03-26,3.1,"moderate"
"Missouri","Chariton County",2022-03-26,0,"moderate"
"Michigan","Genesee County",2022-03-26,5.39,"substantial"
"Ohio","Knox County",2022-03-26,2.04,"moderate"
"Michigan","Charlevoix County",2022-03-26,2.27,"low"
"Illinois","Tazewell County",2022-03-26,2.19,"moderate"
"Indiana","Newton County",2022-03-26,2.3,"moderate"
"Nebraska","Richardson County",2022-03-26,0,"low"
"Indiana","Hamilton County",2022-03-26,3.27,"moderate"
"North Dakota","McHenry County",2022-03-26,0,"low"
"Illinois","Cook County",2022-03-26,1.46,"substantial"
"Illinois","Madison County",2022-03-26,1.22,"moderate"
"Kansas","Barton County",2022-03-26,1.01,"low"
"Kansas","Pottawatomie County",2022-03-26,3.17,"moderate"
"Indiana","Miami County",2022-03-26,2.84,"moderate"
"Missouri","Adair County",2022-03-26,0.37,"moderate"
"Kansas","Lyon County",2022-03-26,3.23,"moderate"
"Minnesota","Kandiyohi County",2022-03-26,1.29,"moderate"
"North Dakota","Mountrail County",2022-03-26,7.14,"moderate"
"Illinois","Clark County",2022-03-26,0.48,"moderate"
"Kansas","Pawnee County",2022-03-26,3.95,"low"
"Kansas","Decatur County",2022-03-26,3.6294571536429,"moderate"
"Minnesota","Yellow Medicine County",2022-03-26,2.41,"substantial"
"Nebraska","Thayer County",2022-03-26,3.6294571536429,"low"
"Illinois","Lake County",2022-03-26,2.28,"substantial"
"Illinois","Clay County",2022-03-26,0,"low"
"Missouri","Lewis County",2022-03-26,4.4,"substantial"
"Michigan","Houghton County",2022-03-26,9.02,"substantial"
"Missouri","Sullivan County",2022-03-26,0,"moderate"
"Nebraska","Red Willow County",2022-03-26,0,"low"
"Indiana","Howard County",2022-03-26,2.07,"moderate"
"Missouri","Scotland County",2022-03-26,3.6294571536429,"low"
"Michigan","St. Joseph County",2022-03-26,1.67,"low"
"Illinois","Gallatin County",2022-03-26,0,"moderate"
"Kansas","Riley County",2022-03-26,3.52,"low"
"Indiana","Clay County",2022-03-26,0.92,"moderate"
"South Dakota","Codington County",2022-03-26,8.2,"substantial"
"Missouri","Cass County",2022-03-26,3.1,"substantial"
"Missouri","Johnson County",2022-03-26,2.03,"moderate"
"North Dakota","Grant County",2022-03-26,0,"low"
"Illinois","Hardin County",2022-03-26,4.26,"moderate"
"Nebraska","Cherry County",2022-03-26,3.6294571536429,"high"
"Kansas","Jackson County",2022-03-26,1.35,"moderate"
"Michigan","St. Clair County",2022-03-26,4.19,"substantial"
"Wisconsin","Dane County",2022-03-26,4.81,"substantial"
"Missouri","Platte County",2022-03-26,2.15,"substantial"
"Wisconsin","Sauk County",2022-03-26,1.88,"moderate"
"Illinois","Mason County",2022-03-26,1.94,"moderate"
"Kansas","Shawnee County",2022-03-26,3.17,"moderate"
"Illinois","Jersey County",2022-03-26,0.9,"moderate"
"Illinois","Richland County",2022-03-26,0,"moderate"
"Illinois","Pope County",2022-03-26,2.63,"moderate"
"Kansas","Nemaha County",2022-03-26,0.4,"low"
"South Dakota","Deuel County",2022-03-26,3.6294571536429,"low"
"Missouri","Daviess County",2022-03-26,11.36,"high"
"Kansas","Rush County",2022-03-26,0,"low"
"Illinois","Pike County",2022-03-26,0.6,"moderate"
"Wisconsin","Portage County",2022-03-26,3.26,"moderate"
"Minnesota","Isanti County",2022-03-26,1.35,"low"
"Wisconsin","Columbia County",2022-03-26,2.42,"moderate"
"Illinois","Calhoun County",2022-03-26,0,"moderate"
"Missouri","Pike County",2022-03-26,3.08,"low"
"South Dakota","Hamlin County",2022-03-26,0,"moderate"
"Illinois","Vermilion County",2022-03-26,1.25,"moderate"
"Illinois","Marshall County",2022-03-26,2.28,"substantial"
"Illinois","Jasper County",2022-03-26,0,"moderate"
"Illinois","Fulton County",2022-03-26,0.82,"moderate"
"Illinois","Saline County",2022-03-26,2.08,"moderate"
"Michigan","Keweenaw County",2022-03-26,6.67,"high"
"Illinois","Peoria County",2022-03-26,1.12,"moderate"
"Indiana","Porter County",2022-03-26,2.37,"moderate"
"Kansas","Gray County",2022-03-26,0,"substantial"
"Missouri","Marion County",2022-03-26,1.99,"moderate"
"Missouri","Clay County",2022-03-26,3.16,"moderate"
"Michigan","Baraga County",2022-03-26,0,"moderate"
"Nebraska","Pawnee County",2022-03-26,3.6294571536429,"low"
"Kansas","Greenwood County",2022-03-26,0,"moderate"
"Minnesota","Lac qui Parle County",2022-03-26,0,"low"
"Minnesota","Roseau County",2022-03-26,0.53,"moderate"
"Indiana","Madison County",2022-03-26,2.1,"moderate"
"Missouri","Jackson County",2022-03-26,2.28,"high"
"Michigan","Kalamazoo County",2022-03-26,4.46,"moderate"
"Michigan","Emmet County",2022-03-26,1.55,"moderate"
"Indiana","Tipton County",2022-03-26,0,"low"
"Kansas","Hodgeman County",2022-03-26,17.65,"high"
"Indiana","Grant County",2022-03-26,3.97,"moderate"
"Kansas","Ford County",2022-03-26,2.48,"moderate"
"Nebraska","Fillmore County",2022-03-26,0,"low"
"Wisconsin","Richland County",2022-03-26,2.95,"substantial"
"Kansas","Jefferson County",2022-03-26,2.8,"low"
"South Dakota","Clark County",2022-03-26,3.6294571536429,"high"
"Indiana","Parke County",2022-03-26,1.69,"low"
"Kansas","Brown County",2022-03-26,2.35,"low"
"Nebraska","Hitchcock County",2022-03-26,3.6294571536429,"low"
"Minnesota","Chippewa County",2022-03-26,0.92,"low"
"Kansas","Meade County",2022-03-26,3.6294571536429,"moderate"
"Michigan","Mackinac County",2022-03-26,3.85,"moderate"
"Michigan","Sanilac County",2022-03-26,2.01,"low"
"Illinois","Adams County",2022-03-26,1.24,"moderate"
"Illinois","Clinton County",2022-03-26,0.87,"substantial"
"Ohio","Licking County",2022-03-26,2.11,"moderate"
"Missouri","Knox County",2022-03-26,0,"high"
"Kansas","Chase County",2022-03-26,3.6294571536429,"low"
"Indiana","Sullivan County",2022-03-26,0,"moderate"
"Illinois","Randolph County",2022-03-26,1.07,"moderate"
"Missouri","Clinton County",2022-03-26,4.4,"high"
"Michigan","Chippewa County",2022-03-26,3.52,"substantial"
"Missouri","Ray County",2022-03-26,2.56,"moderate"
"South Dakota","Grant County",2022-03-26,6.67,"substantial"
"Kansas","Edwards County",2022-03-26,3.6294571536429,"low"
"Minnesota","Swift County",2022-03-26,0.52,"substantial"
"Kansas","Sheridan County",2022-03-26,3.6294571536429,"low"
"Indiana","Fountain County",2022-03-26,0,"substantial"
"North Dakota","Bottineau County",2022-03-26,0,"moderate"
"North Dakota","Burke County",2022-03-26,3.6294571536429,"low"
"Minnesota","Mille Lacs County",2022-03-26,1.09,"moderate"
"Indiana","Jasper County",2022-03-26,4.01,"moderate"
"Illinois","St. Clair County",2022-03-26,1.23,"moderate"
"North Dakota","Renville County",2022-03-26,3.6294571536429,"low"
"Minnesota","Kanabec County",2022-03-26,1.22,"moderate"
"Indiana","Warren County",2022-03-26,2.78,"substantial"
"Kansas","Wabaunsee County",2022-03-26,3.03,"low"
"Missouri","Caldwell County",2022-03-26,2.44,"substantial"
"Missouri","Oregon County",2022-03-26,1.61,"moderate"
"Illinois","Monroe County",2022-03-26,1.25,"moderate"
"Indiana","Wabash County",2022-03-26,4.05,"low"
"Indiana","Lake County",2022-03-26,2.59,"moderate"
"Indiana","Cass County",2022-03-26,1.16,"moderate"
"Missouri","Schuyler County",2022-03-26,4,"high"
"Wisconsin","Iowa County",2022-03-26,2.79,"substantial"
"Missouri","Ralls County",2022-03-26,0,"moderate"
"Kansas","Clark County",2022-03-26,3.6294571536429,"high"
"Illinois","DuPage County",2022-03-26,2.58,"high"
"Michigan","Cheboygan County",2022-03-26,3.31,"low"
"Indiana","Vigo County",2022-03-26,1.38,"moderate"
"Missouri","Howell County",2022-03-26,1.9,"high"
"Kansas","Coffey County",2022-03-26,0,"substantial"
"Illinois","Edwards County",2022-03-26,2.78,"low"
"North Dakota","Ward County",2022-03-26,4.12,"moderate"
"Illinois","McHenry County",2022-03-26,2.01,"substantial"
"Indiana","Vermillion County",2022-03-26,0,"moderate"
"Missouri","Lafayette County",2022-03-26,2.27,"substantial"
"Wisconsin","Grant County",2022-03-26,1.61,"moderate"
"Illinois","Edgar County",2022-03-26,0.44,"high"
"Illinois","Bond County",2022-03-26,0.96,"moderate"
"Kansas","Osage County",2022-03-26,2.21,"low"
"Missouri","Putnam County",2022-03-26,0,"substantial"
"Missouri","Shannon County",2022-03-26,1.19,"moderate"
"Wisconsin","Marquette County",2022-03-26,2.11,"low"
"Minnesota","Lake of the Woods County",2022-03-26,2.5,"moderate"
"South Dakota","Aurora County",2022-03-26,3.6294571536429,"low"
"Ohio","Clermont County",2022-03-26,1.23,"moderate"
"South Dakota","McCook County",2022-03-26,0,"low"
"Minnesota","Rock County",2022-03-26,1.19,"moderate"
"Ohio","Muskingum County",2022-03-26,1.37,"moderate"
"South Dakota","Todd County",2022-03-26,3.48,"low"
"Nebraska","Dawson County",2022-03-26,6.25,"moderate"
"Minnesota","Freeborn County",2022-03-26,3.25,"moderate"
"Nebraska","Webster County",2022-03-26,3.6294571536429,"high"
"Nebraska","Chase County",2022-03-26,9.09,"substantial"
"Illinois","Henderson County",2022-03-26,2.78,"moderate"
"Michigan","Midland County",2022-03-26,2.28,"moderate"
"Ohio","Lake County",2022-03-26,2.31,"moderate"
"Indiana","Wells County",2022-03-26,1.89,"moderate"
"South Dakota","Haakon County",2022-03-26,3.6294571536429,"substantial"
"North Dakota","Slope County",2022-03-26,3.6294571536429,"low"
"Kansas","Sedgwick County",2022-03-26,2.74,"moderate"
"Indiana","Huntington County",2022-03-26,1.68,"moderate"
"Ohio","Lorain County",2022-03-26,1.76,"moderate"
"Michigan","Isabella County",2022-03-26,1.8,"moderate"
"Minnesota","Renville County",2022-03-26,1.06,"moderate"
"Kansas","Sumner County",2022-03-26,5.97,"moderate"
"South Dakota","Buffalo County",2022-03-26,3.6294571536429,"low"
"North Dakota","Adams County",2022-03-26,0,"moderate"
"Ohio","Perry County",2022-03-26,1.79,"moderate"
"South Dakota","Lake County",2022-03-26,7.14,"moderate"
"Nebraska","Gosper County",2022-03-26,3.6294571536429,""
"Wisconsin","Bayfield County",2022-03-26,0.68,"substantial"
"Ohio","Lawrence County",2022-03-26,7.43,"substantial"
"South Dakota","Hughes County",2022-03-26,9.59,"substantial"
"Minnesota","Pipestone County",2022-03-26,1.67,"moderate"
"Ohio","Noble County",2022-03-26,3.33,"low"
"South Dakota","Jones County",2022-03-26,3.6294571536429,"low"
"South Dakota","Lyman County",2022-03-26,0,"low"
"Indiana","Greene County",2022-03-26,1.1,"moderate"
"Wisconsin","Racine County",2022-03-26,2.37,"moderate"
"South Dakota","Gregory County",2022-03-26,0,"low"
"South Dakota","Sanborn County",2022-03-26,3.6294571536429,"low"
"Michigan","Clare County",2022-03-26,4.55,"moderate"
"South Dakota","Miner County",2022-03-26,3.6294571536429,"low"
"Indiana","Spencer County",2022-03-26,3.41,"moderate"
"Ohio","Geauga County",2022-03-26,1.85,"moderate"
"Nebraska","Kearney County",2022-03-26,3.6294571536429,"high"
"North Dakota","Eddy County",2022-03-26,0,"high"
"Illinois","Grundy County",2022-03-26,1.15,"moderate"
"Illinois","Will County",2022-03-26,1.93,"substantial"
"Michigan","Iosco County",2022-03-26,2.53,"moderate"
"Missouri","Pulaski County",2022-03-26,6.29,"moderate"
"Indiana","Brown County",2022-03-26,1.57,"moderate"
"Wisconsin","Ashland County",2022-03-26,4.68,"substantial"
"Indiana","Elkhart County",2022-03-26,2.32,"moderate"
"Indiana","Posey County",2022-03-26,4.86,"moderate"
"Kansas","Graham County",2022-03-26,10,"high"
"South Dakota","Perkins County",2022-03-26,3.6294571536429,"low"
"Missouri","Phelps County",2022-03-26,4.1,"substantial"
"Illinois","Johnson County",2022-03-26,0.51,"substantial"
"Indiana","Adams County",2022-03-26,4.21,"low"
"Ohio","Brown County",2022-03-26,2.41,"moderate"
"Minnesota","Clearwater County",2022-03-26,2.35,"moderate"
"Indiana","Perry County",2022-03-26,2.7,"moderate"
"Indiana","Blackford County",2022-03-26,2.44,"low"
"Wisconsin","Kenosha County",2022-03-26,3.04,"moderate"
"Indiana","Delaware County",2022-03-26,0.93,"moderate"
"Michigan","Arenac County",2022-03-26,0,"low"
"North Dakota","Hettinger County",2022-03-26,1.92,"low"
"Ohio","Adams County",2022-03-26,3.51,"moderate"
"Ohio","Sandusky County",2022-03-26,1.99,"moderate"
"Indiana","Kosciusko County",2022-03-26,3.83,"moderate"
"South Dakota","Ziebach County",2022-03-26,3.6294571536429,"low"
"Ohio","Guernsey County",2022-03-26,2.9,"moderate"
"South Dakota","Charles Mix County",2022-03-26,8.22,"substantial"
"Nebraska","Buffalo County",2022-03-26,5.88,"moderate"
"Illinois","De Witt County",2022-03-26,1.23,"substantial"
"Illinois","Moultrie County",2022-03-26,3.57,"moderate"
"South Dakota","Lincoln County",2022-03-26,1.46,"low"
"Nebraska","Dundy County",2022-03-26,3.6294571536429,"low"
"Indiana","Gibson County",2022-03-26,5.29,"moderate"
"Indiana","Franklin County",2022-03-26,3.61,"moderate"
"Illinois","Knox County",2022-03-26,0.78,"moderate"
"Indiana","Owen County",2022-03-26,2.34,"moderate"
"Nebraska","Sherman County",2022-03-26,3.6294571536429,"low"
"Nebraska","Clay County",2022-03-26,3.6294571536429,"low"
"Nebraska","Boone County",2022-03-26,3.6294571536429,"low"
"South Dakota","Union County",2022-03-26,7.69,"moderate"
"Ohio","Erie County",2022-03-26,3.21,"moderate"
"Michigan","Ogemaw County",2022-03-26,3.41,"low"
"Michigan","Shiawassee County",2022-03-26,3.41,"moderate"
"Kansas","Marion County",2022-03-26,0,"moderate"
"Michigan","Ingham County",2022-03-26,5.16,"substantial"
"Michigan","Bay County",2022-03-26,2.03,"moderate"
"Kansas","Cowley County",2022-03-26,1.42,"moderate"
"Ohio","Butler County",2022-03-26,1.41,"high"
"Kansas","Trego County",2022-03-26,5.26,"high"
"Nebraska","Platte County",2022-03-26,2.38,"low"
"Ohio","Belmont County",2022-03-26,2.33,"moderate"
"Kansas","Harvey County",2022-03-26,2.26,"moderate"
"Minnesota","Redwood County",2022-03-26,0.96,"moderate"
"South Dakota","Harding County",2022-03-26,3.6294571536429,"low"
"Minnesota","Goodhue County",2022-03-26,5.67,"substantial"
"Kansas","Gove County",2022-03-26,0,"low"
"Illinois","Woodford County",2022-03-26,1.66,"substantial"
"Ohio","Monroe County",2022-03-26,4.26,"substantial"
"Ohio","Warren County",2022-03-26,2.12,"moderate"
"Indiana","Randolph County",2022-03-26,0,"low"
"Wisconsin","Price County",2022-03-26,3.68,"moderate"
"Kansas","Barber County",2022-03-26,0,"low"
"Indiana","Warrick County",2022-03-26,3.01,"moderate"
"Kansas","Rooks County",2022-03-26,3.85,"low"
"South Dakota","Davison County",2022-03-26,9.43,"substantial"
"Illinois","McLean County",2022-03-26,2.09,"substantial"
"South Dakota","Turner County",2022-03-26,0,"moderate"
"South Dakota","Douglas County",2022-03-26,3.6294571536429,"low"
"Indiana","Vanderburgh County",2022-03-26,4.79,"moderate"
"Michigan","Eaton County",2022-03-26,5.82,"substantial"
"Nebraska","Franklin County",2022-03-26,3.6294571536429,"high"
"Indiana","Jay County",2022-03-26,4.44,"low"
"Kansas","Logan County",2022-03-26,0,"low"
"Ohio","Huron County",2022-03-26,2.78,"moderate"
"Kansas","Ellis County",2022-03-26,1.55,"low"
"South Dakota","Stanley County",2022-03-26,3.6294571536429,"moderate"
"North Dakota","Foster County",2022-03-26,15.38,"high"
"Nebraska","Hayes County",2022-03-26,3.6294571536429,"low"
"South Dakota","Sully County",2022-03-26,3.6294571536429,"low"
"Illinois","Piatt County",2022-03-26,3.47,"substantial"
"Ohio","Cuyahoga County",2022-03-26,2.21,"moderate"
"North Dakota","Ramsey County",2022-03-26,2.82,"low"
"North Dakota","Wells County",2022-03-26,3.6294571536429,"low"
"South Dakota","Tripp County",2022-03-26,3.6294571536429,"high"
"Kansas","Butler County",2022-03-26,0.83,"low"
"Missouri","St. Charles County",2022-03-26,2.69,"moderate"
"South Dakota","Minnehaha County",2022-03-26,1.48,"low"
"South Dakota","Moody County",2022-03-26,0,"low"
"North Dakota","Stutsman County",2022-03-26,0.94,"moderate"
"South Dakota","Hanson County",2022-03-26,3.6294571536429,"high"
"Illinois","Macon County",2022-03-26,1.3,"moderate"
"Missouri","Lincoln County",2022-03-26,2.03,"moderate"
"Missouri","Pemiscot County",2022-03-26,0,"substantial"
"Illinois","Macoupin County",2022-03-26,1.58,"substantial"
"Nebraska","Boyd County",2022-03-26,3.6294571536429,""
"North Dakota","Benson County",2022-03-26,11.43,"high"
"Michigan","Gladwin County",2022-03-26,3.42,"low"
"Michigan","Oscoda County",2022-03-26,9.09,"substantial"
"Michigan","Clinton County",2022-03-26,4.12,"substantial"
"Minnesota","Brown County",2022-03-26,3.36,"moderate"
"Minnesota","Beltrami County",2022-03-26,3.88,"substantial"
"Ohio","Coshocton County",2022-03-26,1.23,"low"
"Wisconsin","St. Croix County",2022-03-26,2.29,"substantial"
"Missouri","Reynolds County",2022-03-26,0,"moderate"
"Illinois","Wabash County",2022-03-26,4.55,"substantial"
"Nebraska","Frontier County",2022-03-26,3.6294571536429,"low"
"Wisconsin","Pierce County",2022-03-26,2.87,"substantial"
"Illinois","Massac County",2022-03-26,1.78,"moderate"
"North Dakota","Bowman County",2022-03-26,0,"low"
"Indiana","Monroe County",2022-03-26,3.29,"moderate"
"Illinois","Warren County",2022-03-26,1.46,"moderate"
"Missouri","Warren County",2022-03-26,4.61,"moderate"
"South Dakota","Brule County",2022-03-26,3.6294571536429,"low"
"Nebraska","Nance County",2022-03-26,3.6294571536429,"low"
"South Dakota","Mellette County",2022-03-26,10,"high"
"Ohio","Ashtabula County",2022-03-26,4.8,"moderate"
"Nebraska","Nuckolls County",2022-03-26,3.6294571536429,"low"
"Ohio","Hamilton County",2022-03-26,2.18,"substantial"
"Nebraska","Adams County",2022-03-26,32.14,"high"
"Illinois","Shelby County",2022-03-26,2.67,"moderate"
"Ohio","Morgan County",2022-03-26,7.14,"moderate"
"Missouri","Dunklin County",2022-03-26,0,"high"
"Minnesota","Faribault County",2022-03-26,7.33,"moderate"
"Illinois","Montgomery County",2022-03-26,1.16,"moderate"
"Wisconsin","Sawyer County",2022-03-26,2.8,"moderate"
"Missouri","Dent County",2022-03-26,1.85,"moderate"
"Michigan","Allegan County",2022-03-26,3.74,"moderate"
"Missouri","Crawford County",2022-03-26,6.4,"moderate"
"Minnesota","Lincoln County",2022-03-26,2.94,"low"
"Kansas","Hamilton County",2022-03-26,3.6294571536429,"low"
"Illinois","LaSalle County",2022-03-26,1.45,"moderate"
"Minnesota","Traverse County",2022-03-26,3.57,"low"
"North Dakota","Logan County",2022-03-26,0,"substantial"
"Nebraska","Madison County",2022-03-26,2.27,"low"
"Ohio","Ashland County",2022-03-26,1.6,"moderate"
"Nebraska","Wayne County",2022-03-26,0,"low"
"North Dakota","Towner County",2022-03-26,0,"low"
"Nebraska","Scotts Bluff County",2022-03-26,4.4,"low"
"Minnesota","Pope County",2022-03-26,1.48,"moderate"
"Michigan","Oakland County",2022-03-26,3.73,"substantial"
"Ohio","Hancock County",2022-03-26,1.91,"moderate"
"North Dakota","McIntosh County",2022-03-26,0,"low"
"Indiana","Hendricks County",2022-03-26,1.25,"low"
"Minnesota","Big Stone County",2022-03-26,2.9,"moderate"
"North Dakota","Stark County",2022-03-26,1.08,"moderate"
"Illinois","Kane County",2022-03-26,2.46,"substantial"
"Michigan","Schoolcraft County",2022-03-26,0,"low"
"Ohio","Washington County",2022-03-26,2.57,"moderate"
"Illinois","Morgan County",2022-03-26,1.95,"moderate"
"Michigan","Huron County",2022-03-26,2.41,"low"
"Michigan","Washtenaw County",2022-03-26,3.59,"high"
"Missouri","Callaway County",2022-03-26,5.17,"moderate"
"Indiana","Jefferson County",2022-03-26,1.05,"moderate"
"North Dakota","Rolette County",2022-03-26,4.32,"substantial"
"Nebraska","Otoe County",2022-03-26,0,"low"
"Michigan","Luce County",2022-03-26,8,"substantial"
"Minnesota","Rice County",2022-03-26,3.63,"substantial"
"Indiana","Ohio County",2022-03-26,3.45,"moderate"
"Missouri","Carroll County",2022-03-26,2.82,"moderate"
"Ohio","Seneca County",2022-03-26,1.47,"low"
